maker,name,price
レノボ･ジャパン Lenovo,90SM0062JP [デスクトップPC/ IdeaCentre 370i/ Core i3/HDD 1TB/メモリ 8GB/Windows 11 Home /グレー],"￥95,480"
HP,767R3PA-AABL [Victus 15L Gaming TG02-0000 G1モデル （i7/16GB/512GB+2TB/Win11/RTX3050）],"￥198,000"
ストーム STORM,YDS-ME7AH16160T [ゲーミングデスクトップパソコン/Core i7-12700/メモリ 16GB/SSD 1TB/GeForce RTX 3060 Ti/Windows 11 Home],"￥226,800"
マウスコンピューター mouse computer,PCMI117P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei7-11700/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 750/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥184,800"
エイスース ASUS,M5401WYAK-WA009W [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/ホワイト],"￥174,800"
デル DELL,AI557-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥157,800"
デル DELL,AI577T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥215,800"
マウスコンピューター mouse computer,DGI7G60YC45CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 64GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥269,800"
レノボ･ジャパン Lenovo,90VH004LJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック],"￥184,800"
エイスース ASUS,G15DK-R75G1660TW11 [ゲーミングデスクトップパソコン ROG Strix GA15 （G15DK）/Ryzen 7 5800X/GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥159,800"
ガレリア GALLERIA,RR536T-1500-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/RTX 3060Ti/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥269,980"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥549,980"
エイサー Acer,PO3-650-H76Z/307A [ゲーミングデスクトップ/Predator Orion 3000/Core i7-13700F/GeForce RTX 3070/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥198,800"
マウスコンピューター mouse computer,PCMI114P21J-B [Windows11 Pro搭載デスクトップパソコン/Corei5-11400/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 730/DVDスーパーマルチドライブ/Windows11 Pro 64bit/Office Home ＆ Business 2021],"￥119,800"
レノボ･ジャパン Lenovo,90SM0063JP [デスクトップPC/ IdeaCentre 370i / Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥104,280"
HP,52P36PA-AAAA [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 5 5600G/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/ナチュラルシルバー],"￥104,800"
デル DELL,AI779T-DNLBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/ダークシャドウグレー],"￥223,800"
デル DELL,AI567T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥175,800"
マウスコンピューター mouse computer,GTMPCM127G307P22H [ゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 4TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows11 Pro],"￥389,800"
レノボ･ジャパン Lenovo,90VH004KJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥162,800"
デル DELL,DX100VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700K/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 Ti LHR/プラチナシルバー],"￥266,830"
デル DELL,AI577T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥193,800"
ECS イーシーエス,LIVAZ-4/64-W10（N3350） IOT [小型デスクトップパソコン/Celeron/メモリ 4GB/eMMC 64GB/Windows 10 IOT],"￥48,390"
エイスース ASUS,PN64-S5302AD [超小型ミニパソコン/Core i5-13500H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥109,100"
MSI エムエスアイ,Trident AS 13NUC7-493JP [ゲーミングデスクトップPC Core i7-13700F/GeForce RTX 4060/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥294,180"
MSI エムエスアイ,PRO DP180 13SA-026JP [ビジネス向けデスクトップパソコン/Core i5-13400F/メモリ 16GB/SSD 512GB/GeForce GTX 1650/Windows 11 Pro/Office Home ＆ Business 2021],"￥184,800"
マウスコンピューター mouse computer,DGI7G60YC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥259,800"
ミニスフォーラム MINISFORUM,NAB0-32/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥114,800"
マウスコンピューター mouse computer,DGI5G1BYC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i5-13400F/メモリ 32GB/SSD 500GB/GeForce GTX 1650/Windows 11 Home],"￥179,800"
エイサー Acer,PO3-650-H76Y/306A [ゲーミングデスクトップ/Predator Orion 3000/Core i7-13700F/GeForce RTX 3060/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥154,800"
マウスコンピューター mouse computer,DGI7G70YC45CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 64GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥314,800"
デル DELL,AI567T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥197,800"
デル DELL,AI557-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥179,800"
ガレリア GALLERIA,RR536-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥229,980"
レノボ･ジャパン Lenovo,90VH004MJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥264,000"
ガレリア GALLERIA,XR736T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥289,980"
デル DELL,AI557-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥157,800"
デル DELL,AI759-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥186,800"
レノボ･ジャパン Lenovo,90T100BMJP [ゲーミングデスクトップPC/IdeaCentre Gaming 570i/ Core i7/GeForceRTX 3060（LHR）/SSD 1TB/メモリ 16GB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥250,800"
ガレリア GALLERIA,XR748-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥469,980"
デル DELL,AI577T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥215,800"
デル DELL,AI779T-DNHBBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥245,800"
マウスコンピューター mouse computer,DGI5G1BYC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i5-13400F/メモリ 32GB/SSD 500GB/GeForce GTX 1650/Windows 11 Home],"￥184,800"
